Name,Category,Location,Lat,Lon,Municipality,Province,Tags,PhotoHint
Tipsy Pig,Restaurant,"Pasig, NCR",14.575,121.062,Pasig,NCR,restaurant,Tipsy Pig Pasig NCR Philippines
Kapitolyo Food Street,Hidden Gem,"Pasig, NCR",14.572,121.058,Pasig,NCR,hidden gem,Kapitolyo Food Street Pasig NCR Philippines
Kanto Freestyle Breakfast,Restaurant,"Mandaluyong, NCR",14.576,121.045,Mandaluyong,NCR,restaurant,Kanto Freestyle Breakfast Mandaluyong NCR Philippines
Greenhills Shopping Center,Tourist Attraction,"San Juan, NCR",14.602,121.05,San Juan,NCR,tourist attraction,Greenhills Shopping Center San Juan NCR Philippines
Ronac Art Center,Hidden Gem,"San Juan, NCR",14.604,121.055,San Juan,NCR,hidden gem,Ronac Art Center San Juan NCR Philippines
Tweeter's Cafe,Cafe,"Marikina, NCR",14.63,121.1,Marikina,NCR,cafe,Tweeter's Cafe Marikina NCR Philippines
Marikina River Park,Nature Park,"Marikina, NCR",14.63,121.095,Marikina,NCR,nature park,Marikina River Park Marikina NCR Philippines
Lilac Street,Hidden Gem,"Marikina, NCR",14.635,121.11,Marikina,NCR,hidden gem,Lilac Street Marikina NCR Philippines
Kabsat La Union,Restaurant,"San Juan, La Union",16.673,120.322,San Juan,La Union,restaurant,Kabsat La Union San Juan La Union Philippines
Flotsam & Jetsam,Hidden Gem,"San Juan, La Union",16.675,120.323,San Juan,La Union,hidden gem,Flotsam & Jetsam San Juan La Union Philippines
Masa by Barefoot,Cafe,"San Juan, La Union",16.671,120.32,San Juan,La Union,cafe,Masa by Barefoot San Juan La Union Philippines
Tagpuan sa San Juan,Restaurant,"San Juan, La Union",16.67,120.319,San Juan,La Union,restaurant,Tagpuan sa San Juan San Juan La Union Philippines
Ma-Cho Temple,Tourist Attraction,"San Fernando, La Union",16.621,120.317,San Fernando,La Union,tourist attraction,Ma-Cho Temple San Fernando La Union Philippines
Lake Pandin,Nature Park,"San Pablo, Laguna",14.116,121.366,San Pablo,Laguna,nature park,Lake Pandin San Pablo Laguna Philippines
Bato Springs Resort,Nature Park,"San Pablo, Laguna",14.05,121.35,San Pablo,Laguna,nature park,Bato Springs Resort San Pablo Laguna Philippines
Sulyap Gallery Cafe,Restaurant,"San Pablo, Laguna",14.06,121.33,San Pablo,Laguna,restaurant,Sulyap Gallery Cafe San Pablo Laguna Philippines
Patis Tito Garden Cafe,Restaurant,"San Pablo, Laguna",14.07,121.32,San Pablo,Laguna,restaurant,Patis Tito Garden Cafe San Pablo Laguna Philippines
Nuvali Park,Nature Park,"Santa Rosa, Laguna",14.237,121.06,Santa Rosa,Laguna,nature park,Nuvali Park Santa Rosa Laguna Philippines
Rizal Shrine,Museum,"Calamba, Laguna",14.213,121.166,Calamba,Laguna,museum,Rizal Shrine Calamba Laguna Philippines
UPLB Freedom Park,Nature Park,"Los Baños, Laguna",14.165,121.24,Los Baños,Laguna,nature park,UPLB Freedom Park Los Baños Laguna Philippines
ArtSector Gallery,Hidden Gem,"Binangonan, Rizal",14.48,121.2,Binangonan,Rizal,hidden gem,ArtSector Gallery Binangonan Rizal Philippines
Pililla Wind Farm,Tourist Attraction,"Pililla, Rizal",14.48,121.3,Pililla,Rizal,tourist attraction,Pililla Wind Farm Pililla Rizal Philippines
Cloud 9 Antipolo,Tourist Attraction,"Antipolo, Rizal",14.58,121.16,Antipolo,Rizal,tourist attraction,Cloud 9 Antipolo Antipolo Rizal Philippines
Lutong Pugon,Restaurant,"Tanay, Rizal",14.52,121.35,Tanay,Rizal,restaurant,Lutong Pugon Tanay Rizal Philippines
Calinawagan Cave,Nature Park,"Tanay, Rizal",14.55,121.4,Tanay,Rizal,nature park,Calinawagan Cave Tanay Rizal Philippines
Fortune Island,Hidden Gem,"Nasugbu, Batangas",14.06,120.49,Nasugbu,Batangas,hidden gem,Fortune Island Nasugbu Batangas Philippines
Masasa Beach,Hidden Gem,"Tingloy, Batangas",13.67,120.85,Tingloy,Batangas,hidden gem,Masasa Beach Tingloy Batangas Philippines
Caleruega Church,Tourist Attraction,"Nasugbu, Batangas",14.07,120.83,Nasugbu,Batangas,tourist attraction,Caleruega Church Nasugbu Batangas Philippines
Cape Santiago Lighthouse,Historical Site,"Calatagan, Batangas",13.78,120.65,Calatagan,Batangas,historical site,Cape Santiago Lighthouse Calatagan Batangas Philippines
The Nest Dining in The Sky,Restaurant,"Muntinlupa, NCR",14.42,121.04,Muntinlupa,NCR,restaurant,The Nest Dining in The Sky Muntinlupa NCR Philippines
Molito Lifestyle Center,Hidden Gem,"Muntinlupa, NCR",14.425,121.02,Muntinlupa,NCR,hidden gem,Molito Lifestyle Center Muntinlupa NCR Philippines
Ramen Yushoken,Restaurant,"Muntinlupa, NCR",14.426,121.021,Muntinlupa,NCR,restaurant,Ramen Yushoken Muntinlupa NCR Philippines
Neil's Kitchen,Restaurant,"Muntinlupa, NCR",14.43,121.015,Muntinlupa,NCR,restaurant,Neil's Kitchen Muntinlupa NCR Philippines
Totalitang Park,Nature Park,"Muntinlupa, NCR",14.41,121.03,Muntinlupa,NCR,nature park,Totalitang Park Muntinlupa NCR Philippines
Yexel's Toy Museum,Museum,"Las Piñas, NCR",14.44,121.0,Las Piñas,NCR,museum,Yexel's Toy Museum Las Piñas NCR Philippines
Bamboo Organ Church,Tourist Attraction,"Las Piñas, NCR",14.48,120.98,Las Piñas,NCR,tourist attraction,Bamboo Organ Church Las Piñas NCR Philippines
Ninoy Aquino International Airport Viewdeck,Hidden Gem,"Pasay, NCR",14.51,121.0,Pasay,NCR,hidden gem,Ninoy Aquino International Airport Viewdeck Pasay NCR Philippines
Dampa Seaside Market,Restaurant,"Pasay, NCR",14.54,120.99,Pasay,NCR,restaurant,Dampa Seaside Market Pasay NCR Philippines
Okada Manila Fountain,Tourist Attraction,"Parañaque, NCR",14.515,120.98,Parañaque,NCR,tourist attraction,Okada Manila Fountain Parañaque NCR Philippines
DreamPlay by DreamWorks,Tourist Attraction,"Parañaque, NCR",14.52,120.98,Parañaque,NCR,tourist attraction,DreamPlay by DreamWorks Parañaque NCR Philippines
The Ruins (Project 4),Historical Site,"Quezon City, NCR",14.62,121.07,Quezon City,NCR,historical site,The Ruins (Project 4) Quezon City NCR Philippines
Books and Borders Cafe,Cafe,"Quezon City, NCR",14.63,121.03,Quezon City,NCR,cafe,Books and Borders Cafe Quezon City NCR Philippines
Highlands Coffee,Cafe,"Mandaluyong, NCR",14.58,121.05,Mandaluyong,NCR,cafe,Highlands Coffee Mandaluyong NCR Philippines
Tablo Kitchen x Cafe,Restaurant,"Quezon City, NCR",14.66,121.04,Quezon City,NCR,restaurant,Tablo Kitchen x Cafe Quezon City NCR Philippines
Gubat QC,Hidden Gem,"Quezon City, NCR",14.655,121.06,Quezon City,NCR,hidden gem,Gubat QC Quezon City NCR Philippines
Bell Church,Tourist Attraction,"La Trinidad, Benguet",16.44,120.59,La Trinidad,Benguet,tourist attraction,Bell Church La Trinidad Benguet Philippines
Mt. Yangbew,Nature Park,"La Trinidad, Benguet",16.45,120.6,La Trinidad,Benguet,nature park,Mt. Yangbew La Trinidad Benguet Philippines
Stobosa Hillside Homes,Tourist Attraction,"La Trinidad, Benguet",16.445,120.6,La Trinidad,Benguet,tourist attraction,Stobosa Hillside Homes La Trinidad Benguet Philippines
Northern Blossom Flower Farm,Tourist Attraction,"Atok, Benguet",16.58,120.7,Atok,Benguet,tourist attraction,Northern Blossom Flower Farm Atok Benguet Philippines
Halsema Highway Highest Point,Tourist Attraction,"Atok, Benguet",16.6,120.75,Atok,Benguet,tourist attraction,Halsema Highway Highest Point Atok Benguet Philippines
